0	151580	2917620	0
1	3690464	3437133	0
2	2318970	2713029	0
3	2790810	2145729	0
4	1270034	2153185	0
5	1279064	1795327	0
6	1222028	1671950	0
7	2135614	2561984	0
8	3642410	3056534	0
9	1354546	2326139	0
10	1611323	1770868	2692367
11	1712280	1807039	1114804
12	1568216	1491829	1412777
13	1945590	1421390	1430631
14	1841420	2370410	1125517
15	3397830	2925498	3686718
16	2951309	2252794	2065454
17	2299238	1748388	2352871
18	1560638	1825334	1554456
19	1524565	1538481	1442674
20	1182438	1482723	1493848
21	1650728	2432611	1305990
22	6639734	2975684	3500130
23	3002312	2279950	1955004
24	3807825	1744091	1964647
25	2304472	1784223	1590185
26	1959826	1458431	1648458
27	1296181	1364734	1752960
28	1817180	2280427	1675548
29	2996168	2795192	4011829
30	1651992	2078421	2075068
31	2543738	1529345	3019927
32	1599866	1563794	1715180
33	1630978	1238819	1308060
34	2184691	1150802	875645
35	1943670	2075007	1251026
36	3082923	2598929	3437567
37	1810625	1889856	1953205
38	2025847	1345237	2297597
39	1208068	1379629	1284947
40	986954	1049461	1244500
41	1142514	951210	1099640
42	1794544	1860948	1881090
43	2756600	2367609	4068172
44	1426418	1640409	2140957
45	1677270	1079009	2490347
46	787390	1100239	1625687
47	705438	762612	1085245
48	730884	664280	1550232
49	1277898	1582383	1497373
50	2282608	2106181	4132924
51	1235620	1404403	2339704
52	957368	875422	2207201
53	699139	934062	1000995
54	730646	636269	1216976
55	654962	577281	935880
56	1027814	1531233	1553352
57	2361434	2084554	2975133
58	873844	1403581	1114533
59	827824	884957	1764198
60	521748	942617	630013
61	535303	632559	627508
62	482708	551037	586966
63	1030407	1474097	642810
64	2475990	1990836	1953856
65	1096227	1270795	637643
66	790830	714093	634236
67	605606	738116	396255
68	509838	401991	395499
69	457176	304498	376582
70	954258	1223389	465732
71	1828200	1748474	1971113
72	763568	1048948	522094
73	887816	523537	801717
74	639174	587293	408800
75	528809	296256	409748
76	556202	245629	356743
77	1158180	1209392	516441
78	2215800	1773719	1969950
79	984952	1104614	799456
80	773458	598342	1045516
81	634920	668443	653359
82	459346	370540	482359
83	558336	300558	437900
84	1158992	1234298	997994
85	1813532	1760705	2295849
86	853017	1049285	947131
87	750428	500250	785935
88	575590	531199	621592
89	514049	201585	456139
90	678806	110615	431894
91	976900	1036536	859266
92	1812721	1569698	2143695
93	751242	879838	781893
94	616388	366195	751239
95	382732	444261	535016
96	463363	170417	434865
97	403654	140062	457050
98	1014224	1127216	985135
99	2169380	1717907	2140953
100	843176	1077811	838862
101	930286	602677	807501
102	705400	705357	445640
103	467758	440634	389448
104	385902	403480	384556
105	1198068	1368663	1182288
106	2632646	1924065	2148556
107	941022	1238152	1078767
108	724695	710169	989554
109	460567	756870	696206
110	537086	437039	371432
111	376638	349426	526165
112	859057	1272067	1179115
113	1738253	1795369	2405493
114	631982	1089403	1013429
115	534592	554019	817735
116	371842	605574	493928
117	264822	301544	430023
118	316900	238612	367765
119	756734	1192212	967891
120	1569008	1749867	2114953
121	470252	1078753	951851
122	392778	576064	801637
123	385946	655971	421973
124	319540	374390	505417
125	297092	327177	248579
126	654216	1289696	1164302
127	1510940	1850098	1990136
128	468512	1176774	761591
129	459608	668539	634878
130	338574	741381	461990
131	469880	453003	409920
132	497480	400797	237617
133	909912	1361229	909196
134	1861325	1922976	2033967
135	764570	1254304	763996
136	696898	753251	706464
137	725454	834444	614751
138	614704	553778	248972
139	706420	506583	241457
140	1186568	1467227	1105781
141	2459846	2022504	2094444
142	1039602	1339235	765079
143	933202	814653	642838
144	842064	863361	436726
145	754114	542091	446306
146	737225	447864	320634
147	1270944	1357509	784241
148	2445092	1860888	1886735
149	1128754	1128268	669411
150	0	0	491361
151	0	0	414324
152	0	0	352612
153	0	0	281953
154	0	0	784135
155	0	0	2071881
156	0	0	908475
157	0	0	940805
158	0	0	846883
159	0	0	826882
160	0	0	804011
161	0	0	1251400
162	0	0	2230732
163	0	0	1016992
164	0	0	1031530
165	0	0	908769
166	0	0	851323
167	0	0	785666
168	0	0	1188733
169	0	0	2126204
170	0	0	876898
171	0	0	865494
172	0	0	728932
173	0	0	671311
174	0	0	619416
175	0	0	1049286
176	0	0	2024577
177	0	0	821124
178	0	0	859923
179	0	0	773858
180	0	0	762943
181	0	0	750218
182	0	0	1208632
183	0	0	2199683
184	0	0	998161
185	0	0	1025220
186	0	0	915080
187	0	0	870153
188	0	0	816715
189	0	0	1231501
190	0	0	2179998
191	0	0	940838
192	0	0	938519
193	0	0	809814
194	0	0	758662
195	0	0	711702
196	0	0	1144843
197	0	0	2121623
198	0	0	917777
199	0	0	954220
